Combination Name,algorithm,train_split,test_split,lambda,k,MAE,RMSE,Precision,Recall
"Name_k_faction_sim_Split_(0.9, 0.1)_K_5_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,5,0.8297312971798372,1.0545145051710012,0.5846153846153846,0.68894493931002
"Name_cn_sim_Split_(0.9, 0.1)_K_5_Lambda_0.2",cn_sim,0.9,0.1,0.2,5,0.8022743839079348,1.0182977101813042,0.6011481056257176,0.7039485466041155
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_5",KNN-Cosine,0.9,0.1,N/A,5,0.8188646579202327,1.0347683822070497,0.5793340987370839,0.6816812978768225
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_5",KNN-Pearson,0.9,0.1,N/A,5,0.8091251624420194,1.028220109765921,0.5892078071182549,0.6921416950817667
"Name_k_faction_sim_Split_(0.9, 0.1)_K_10_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,10,0.8123969579291296,1.0334041759438757,0.5919632606199772,0.6953409734328052
"Name_cn_sim_Split_(0.9, 0.1)_K_10_Lambda_0.2",cn_sim,0.9,0.1,0.2,10,0.7837678897087196,0.9949968873790338,0.6029850746268657,0.7028791407291596
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_10",KNN-Cosine,0.9,0.1,N/A,10,0.7870450451464435,0.9941511861629481,0.592881745120551,0.6950108893484156
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_10",KNN-Pearson,0.9,0.1,N/A,10,0.7749285861519637,0.9876921932586279,0.6036739380022962,0.7017229106614965
"Name_k_faction_sim_Split_(0.9, 0.1)_K_20_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,20,0.8083953674789471,1.0285233996081045,0.5926521239954077,0.695403846401585
"Name_cn_sim_Split_(0.9, 0.1)_K_20_Lambda_0.2",cn_sim,0.9,0.1,0.2,20,0.7789890545016258,0.9868588897073125,0.6096440872560276,0.7081570115272007
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_20",KNN-Cosine,0.9,0.1,N/A,20,0.771568945532894,0.974357407999199,0.6034443168771527,0.7061913985776196
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_20",KNN-Pearson,0.9,0.1,N/A,20,0.7588969118668395,0.9677091227688331,0.6082663605051665,0.7084598141907955
"Name_k_faction_sim_Split_(0.9, 0.1)_K_30_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,30,0.8085791826412273,1.0283542266155254,0.5931113662456946,0.6961740382359694
"Name_cn_sim_Split_(0.9, 0.1)_K_30_Lambda_0.2",cn_sim,0.9,0.1,0.2,30,0.7782562509326408,0.9863535751532159,0.6082663605051665,0.7073726045188353
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_30",KNN-Cosine,0.9,0.1,N/A,30,0.7661611641833023,0.9674416256896587,0.6121699196326063,0.7129290116161288
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_30",KNN-Pearson,0.9,0.1,N/A,30,0.7539710643717381,0.9620375006447516,0.6146957520091849,0.7110836516422661
"Name_k_faction_sim_Split_(0.9, 0.1)_K_40_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,40,0.809258438432329,1.0286488817398434,0.5944890929965556,0.6964206203953733
"Name_cn_sim_Split_(0.9, 0.1)_K_40_Lambda_0.2",cn_sim,0.9,0.1,0.2,40,0.7789344640270589,0.9870965942985163,0.6084959816303099,0.707048377951109
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_40",KNN-Cosine,0.9,0.1,N/A,40,0.764315489729234,0.9669216601854508,0.6140068886337544,0.7136585201203474
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_40",KNN-Pearson,0.9,0.1,N/A,40,0.7518541497901754,0.9598169438528805,0.6117106773823191,0.7093197219938809
"Name_k_faction_sim_Split_(0.9, 0.1)_K_50_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,50,0.8098912225101165,1.0292010268917617,0.5912743972445464,0.6933765662548872
"Name_cn_sim_Split_(0.9, 0.1)_K_50_Lambda_0.2",cn_sim,0.9,0.1,0.2,50,0.7801255140710804,0.988219809831565,0.6064293915040184,0.7056869953612535
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_50",KNN-Cosine,0.9,0.1,N/A,50,0.7633548922621057,0.9657802259011188,0.6130884041331802,0.7120570338938671
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_50",KNN-Pearson,0.9,0.1,N/A,50,0.750612008461847,0.9583372213682605,0.6163030998851895,0.7116672560227055
"Name_k_faction_sim_Split_(0.8, 0.2)_K_5_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,5,0.8297333801932733,1.056529287687216,0.6825945945945947,0.5075592824345561
"Name_cn_sim_Split_(0.8, 0.2)_K_5_Lambda_0.2",cn_sim,0.8,0.2,0.2,5,0.806636040615347,1.022975781424317,0.6886486486486486,0.5128959130642043
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_5",KNN-Cosine,0.8,0.2,N/A,5,0.8148426117056556,1.0315363791885717,0.6583783783783784,0.49597663800289304
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_5",KNN-Pearson,0.8,0.2,N/A,5,0.8067835296450836,1.0285434099630286,0.6698378378378378,0.500309496235225
"Name_k_faction_sim_Split_(0.8, 0.2)_K_10_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,10,0.8149380602658131,1.0382798078244841,0.6825945945945947,0.5115721214353331
"Name_cn_sim_Split_(0.8, 0.2)_K_10_Lambda_0.2",cn_sim,0.8,0.2,0.2,10,0.7859443729867277,0.9975829179870008,0.6940540540540541,0.5163471786146993
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_10",KNN-Cosine,0.8,0.2,N/A,10,0.7874326245970429,0.9949897429104518,0.6791351351351352,0.5089896496452423
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_10",KNN-Pearson,0.8,0.2,N/A,10,0.7735495850885784,0.9870916110045995,0.6892972972972973,0.5093142822751705
"Name_k_faction_sim_Split_(0.8, 0.2)_K_20_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,20,0.8106517013158585,1.0338821733763397,0.6845405405405406,0.5129317768309369
"Name_cn_sim_Split_(0.8, 0.2)_K_20_Lambda_0.2",cn_sim,0.8,0.2,0.2,20,0.7797073724041589,0.9889724187911001,0.702918918918919,0.5187883808529834
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_20",KNN-Cosine,0.8,0.2,N/A,20,0.771905733256383,0.9749750392092564,0.6998918918918918,0.5182575086090127
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_20",KNN-Pearson,0.8,0.2,N/A,20,0.7577675936392229,0.9673577122353189,0.7018378378378379,0.516397906173035
"Name_k_faction_sim_Split_(0.8, 0.2)_K_30_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,30,0.8115393429844118,1.0341471330328882,0.6864864864864865,0.5141405068416042
"Name_cn_sim_Split_(0.8, 0.2)_K_30_Lambda_0.2",cn_sim,0.8,0.2,0.2,30,0.7796341258857455,0.988702856257362,0.6994594594594594,0.5182259403678219
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_30",KNN-Cosine,0.8,0.2,N/A,30,0.7666042301224549,0.9691070086069383,0.7048648648648649,0.5211600984022438
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_30",KNN-Pearson,0.8,0.2,N/A,30,0.753647834799435,0.9617584018928946,0.7057297297297297,0.5198267462391506
"Name_k_faction_sim_Split_(0.8, 0.2)_K_40_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,40,0.81231991700991,1.0348634605074922,0.6832432432432433,0.5115580013080492
"Name_cn_sim_Split_(0.8, 0.2)_K_40_Lambda_0.2",cn_sim,0.8,0.2,0.2,40,0.780303648773635,0.9893835731845653,0.6992432432432432,0.5177522555534547
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_40",KNN-Cosine,0.8,0.2,N/A,40,0.7641623869783125,0.9666387255548655,0.7068108108108109,0.5230203274171197
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_40",KNN-Pearson,0.8,0.2,N/A,40,0.7519488325768525,0.95987142304747,0.7104864864864865,0.5238413735783568
"Name_k_faction_sim_Split_(0.8, 0.2)_K_50_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,50,0.8125496610757126,1.0351811146557142,0.6823783783783784,0.5112732428057365
"Name_cn_sim_Split_(0.8, 0.2)_K_50_Lambda_0.2",cn_sim,0.8,0.2,0.2,50,0.7812964666828826,0.9904305220803132,0.6985945945945946,0.5172116180780346
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_50",KNN-Cosine,0.8,0.2,N/A,50,0.7635466369595564,0.9661437360042792,0.7061621621621622,0.520654892554392
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_50",KNN-Pearson,0.8,0.2,N/A,50,0.7511875884859374,0.959146572214138,0.7107027027027027,0.522789006719572
"Name_k_faction_sim_Split_(0.7, 0.3)_K_5_Lambda_0.2",k_faction_sim,0.7,0.3,0.2,5,0.8297315279693809,1.0581519149060796,0.7042735042735043,0.3789792500718855
"Name_cn_sim_Split_(0.7, 0.3)_K_5_Lambda_0.2",cn_sim,0.7,0.3,0.2,5,0.8071898426015994,1.0242448224268959,0.7128205128205128,0.38455912565694733
"Name_KNN-Cosine_Split_(0.7, 0.3)_K_5",KNN-Cosine,0.7,0.3,N/A,5,0.8216302900488146,1.0387248940402911,0.6901709401709402,0.3741298770415257
"Name_KNN-Pearson_Split_(0.7, 0.3)_K_5",KNN-Pearson,0.7,0.3,N/A,5,0.8086161332303194,1.0288502747135855,0.708119658119658,0.38720236228932636
"Name_k_faction_sim_Split_(0.7, 0.3)_K_10_Lambda_0.2",k_faction_sim,0.7,0.3,0.2,10,0.8150086511751266,1.0407451872262334,0.7136752136752137,0.3851392805092978
"Name_cn_sim_Split_(0.7, 0.3)_K_10_Lambda_0.2",cn_sim,0.7,0.3,0.2,10,0.7867191197714672,0.9987830401728364,0.7307692307692307,0.39053708438561346
"Name_KNN-Cosine_Split_(0.7, 0.3)_K_10",KNN-Cosine,0.7,0.3,N/A,10,0.7910777404516577,0.9984979772986252,0.7155982905982907,0.38679764381624954
"Name_KNN-Pearson_Split_(0.7, 0.3)_K_10",KNN-Pearson,0.7,0.3,N/A,10,0.7756278937114662,0.9898847629285048,0.7254273504273504,0.39332129446087755
"Name_k_faction_sim_Split_(0.7, 0.3)_K_20_Lambda_0.2",k_faction_sim,0.7,0.3,0.2,20,0.8117763845924894,1.036519426450147,0.7168803418803419,0.38465020664039884
"Name_cn_sim_Split_(0.7, 0.3)_K_20_Lambda_0.2",cn_sim,0.7,0.3,0.2,20,0.7801333633240765,0.9905910144004851,0.7333333333333334,0.3912900794034937
"Name_KNN-Cosine_Split_(0.7, 0.3)_K_20",KNN-Cosine,0.7,0.3,N/A,20,0.7738092096300846,0.9778767742331854,0.7318376068376068,0.39064254308459423
"Name_KNN-Pearson_Split_(0.7, 0.3)_K_20",KNN-Pearson,0.7,0.3,N/A,20,0.7605809356722637,0.9707145345922965,0.7405982905982906,0.3977924570765029
"Name_k_faction_sim_Split_(0.7, 0.3)_K_30_Lambda_0.2",k_faction_sim,0.7,0.3,0.2,30,0.8122908457629829,1.036782754077109,0.7175213675213675,0.3863500402203245
"Name_cn_sim_Split_(0.7, 0.3)_K_30_Lambda_0.2",cn_sim,0.7,0.3,0.2,30,0.7805128547031522,0.9908767462769397,0.7380341880341881,0.39405647551945494
"Name_KNN-Cosine_Split_(0.7, 0.3)_K_30",KNN-Cosine,0.7,0.3,N/A,30,0.767324577477322,0.970974119303085,0.7461538461538463,0.3993529339490783
"Name_KNN-Pearson_Split_(0.7, 0.3)_K_30",KNN-Pearson,0.7,0.3,N/A,30,0.755959507299381,0.9647981917749332,0.7506410256410256,0.402557638339248
"Name_k_faction_sim_Split_(0.7, 0.3)_K_40_Lambda_0.2",k_faction_sim,0.7,0.3,0.2,40,0.8128178867237577,1.037158861247616,0.7181623931623932,0.3877211102196858
"Name_cn_sim_Split_(0.7, 0.3)_K_40_Lambda_0.2",cn_sim,0.7,0.3,0.2,40,0.7816204977362582,0.9920038146364359,0.7384615384615384,0.3933427164933223
"Name_KNN-Cosine_Split_(0.7, 0.3)_K_40",KNN-Cosine,0.7,0.3,N/A,40,0.7644807333124486,0.9679406478334952,0.7476495726495725,0.39948980159714265
"Name_KNN-Pearson_Split_(0.7, 0.3)_K_40",KNN-Pearson,0.7,0.3,N/A,40,0.7537713021828897,0.9621558374406766,0.7574786324786325,0.4059818654895007
"Name_k_faction_sim_Split_(0.7, 0.3)_K_50_Lambda_0.2",k_faction_sim,0.7,0.3,0.2,50,0.813255490573922,1.0376693704151123,0.7130341880341882,0.38526148426709556
"Name_cn_sim_Split_(0.7, 0.3)_K_50_Lambda_0.2",cn_sim,0.7,0.3,0.2,50,0.7824293454562121,0.992780256668188,0.7341880341880342,0.3911397695235996
"Name_KNN-Cosine_Split_(0.7, 0.3)_K_50",KNN-Cosine,0.7,0.3,N/A,50,0.7627804018682178,0.9662484087474679,0.7485042735042735,0.4015815910795677
"Name_KNN-Pearson_Split_(0.7, 0.3)_K_50",KNN-Pearson,0.7,0.3,N/A,50,0.7529596046051582,0.9610721414231875,0.7568376068376069,0.4067380795366051
"Name_k_faction_sim_Split_(0.6, 0.4)_K_5_Lambda_0.2",k_faction_sim,0.6,0.4,0.2,5,0.8340113516555372,1.0633708150828531,0.7237486687965922,0.302333048057048
"Name_cn_sim_Split_(0.6, 0.4)_K_5_Lambda_0.2",cn_sim,0.6,0.4,0.2,5,0.8090647073315352,1.0295155385242947,0.7361022364217253,0.30559692959429074
"Name_KNN-Cosine_Split_(0.6, 0.4)_K_5",KNN-Cosine,0.6,0.4,N/A,5,0.8211521746828552,1.0389510179406083,0.6986155484558041,0.29224194275278276
"Name_KNN-Pearson_Split_(0.6, 0.4)_K_5",KNN-Pearson,0.6,0.4,N/A,5,0.8100466264792834,1.0317621753298571,0.7194888178913739,0.30290496229449937
"Name_k_faction_sim_Split_(0.6, 0.4)_K_10_Lambda_0.2",k_faction_sim,0.6,0.4,0.2,10,0.8192489882300934,1.0458144989451075,0.7352502662406816,0.30936930651461203
"Name_cn_sim_Split_(0.6, 0.4)_K_10_Lambda_0.2",cn_sim,0.6,0.4,0.2,10,0.7887715433331932,1.0042259893158316,0.7435569755058573,0.3101407287133355
"Name_KNN-Cosine_Split_(0.6, 0.4)_K_10",KNN-Cosine,0.6,0.4,N/A,10,0.789602014266529,0.9984238730180471,0.7256656017039403,0.3039863890954313
"Name_KNN-Pearson_Split_(0.6, 0.4)_K_10",KNN-Pearson,0.6,0.4,N/A,10,0.7776409033587983,0.9920194642657653,0.7388711395101171,0.3116535733716245
"Name_k_faction_sim_Split_(0.6, 0.4)_K_20_Lambda_0.2",k_faction_sim,0.6,0.4,0.2,20,0.8176932407868659,1.0434982552996641,0.7265175718849841,0.30532131038674315
"Name_cn_sim_Split_(0.6, 0.4)_K_20_Lambda_0.2",cn_sim,0.6,0.4,0.2,20,0.7828099088597141,0.9968213443129731,0.754632587859425,0.3139910301149714
"Name_KNN-Cosine_Split_(0.6, 0.4)_K_20",KNN-Cosine,0.6,0.4,N/A,20,0.7729088278083206,0.9777314396013925,0.7454739084132055,0.3100243336223876
"Name_KNN-Pearson_Split_(0.6, 0.4)_K_20",KNN-Pearson,0.6,0.4,N/A,20,0.7622111387068554,0.9733667844579228,0.7591054313099042,0.3193970105381834
"Name_k_faction_sim_Split_(0.6, 0.4)_K_30_Lambda_0.2",k_faction_sim,0.6,0.4,0.2,30,0.8177573990092194,1.0436580443879737,0.7260915867944622,0.30543082804034566
"Name_cn_sim_Split_(0.6, 0.4)_K_30_Lambda_0.2",cn_sim,0.6,0.4,0.2,30,0.7839655545332711,0.9979036177645324,0.7529286474973376,0.31375247005993645
"Name_KNN-Cosine_Split_(0.6, 0.4)_K_30",KNN-Cosine,0.6,0.4,N/A,30,0.7667712635793431,0.9715207936161353,0.7565495207667733,0.3144376147147612
"Name_KNN-Pearson_Split_(0.6, 0.4)_K_30",KNN-Pearson,0.6,0.4,N/A,30,0.7580672137187232,0.968347596004078,0.7665601703940361,0.3201649680327244
"Name_k_faction_sim_Split_(0.6, 0.4)_K_40_Lambda_0.2",k_faction_sim,0.6,0.4,0.2,40,0.818312277153486,1.0441613968544752,0.7224707135250266,0.30301216289277677
"Name_cn_sim_Split_(0.6, 0.4)_K_40_Lambda_0.2",cn_sim,0.6,0.4,0.2,40,0.7847909169649365,0.9987245019699512,0.7488817891373802,0.3108963579121488
"Name_KNN-Cosine_Split_(0.6, 0.4)_K_40",KNN-Cosine,0.6,0.4,N/A,40,0.764012006863693,0.9687163942948687,0.759531416400426,0.3155450616635782
"Name_KNN-Pearson_Split_(0.6, 0.4)_K_40",KNN-Pearson,0.6,0.4,N/A,40,0.7561424339143505,0.9661483969812177,0.7680511182108627,0.32130867274212704
"Name_k_faction_sim_Split_(0.6, 0.4)_K_50_Lambda_0.2",k_faction_sim,0.6,0.4,0.2,50,0.8185085295673199,1.044390082855849,0.7220447284345048,0.3035483813373443
"Name_cn_sim_Split_(0.6, 0.4)_K_50_Lambda_0.2",cn_sim,0.6,0.4,0.2,50,0.7853747154319816,0.9992789519005252,0.7467518636847711,0.3111485910557289
"Name_KNN-Cosine_Split_(0.6, 0.4)_K_50",KNN-Cosine,0.6,0.4,N/A,50,0.762413626220711,0.9674978145162264,0.7648562300319489,0.31855437588885965
"Name_KNN-Pearson_Split_(0.6, 0.4)_K_50",KNN-Pearson,0.6,0.4,N/A,50,0.7554282525455557,0.9652490849763637,0.7729499467518638,0.3227649289254353
"Name_k_faction_sim_Split_(0.5, 0.5)_K_5_Lambda_0.2",k_faction_sim,0.5,0.5,0.2,5,0.837165661117348,1.0682504683468823,0.7161358811040339,0.24219431971570116
"Name_cn_sim_Split_(0.5, 0.5)_K_5_Lambda_0.2",cn_sim,0.5,0.5,0.2,5,0.8129549894540001,1.0337353943762297,0.7331210191082803,0.24793118330131347
"Name_KNN-Cosine_Split_(0.5, 0.5)_K_5",KNN-Cosine,0.5,0.5,N/A,5,0.8267978039163343,1.045921439003885,0.699787685774947,0.2357841354605612
"Name_KNN-Pearson_Split_(0.5, 0.5)_K_5",KNN-Pearson,0.5,0.5,N/A,5,0.8133980130362696,1.035754579854114,0.7101910828025477,0.24236672089065459
"Name_k_faction_sim_Split_(0.5, 0.5)_K_10_Lambda_0.2",k_faction_sim,0.5,0.5,0.2,10,0.8260791602256606,1.0539752307510029,0.7278131634819532,0.24685274949098762
"Name_cn_sim_Split_(0.5, 0.5)_K_10_Lambda_0.2",cn_sim,0.5,0.5,0.2,10,0.7935614331719618,1.009769658972483,0.7377919320594479,0.24858606256572405
"Name_KNN-Cosine_Split_(0.5, 0.5)_K_10",KNN-Cosine,0.5,0.5,N/A,10,0.7935507511331804,1.0028596927585685,0.7312101910828025,0.2477675750335829
"Name_KNN-Pearson_Split_(0.5, 0.5)_K_10",KNN-Pearson,0.5,0.5,N/A,10,0.7825413671433623,0.9967029536354713,0.7401273885350319,0.25109888861592766
"Name_k_faction_sim_Split_(0.5, 0.5)_K_20_Lambda_0.2",k_faction_sim,0.5,0.5,0.2,20,0.8241212877141092,1.051108263621818,0.7265392781316348,0.24567821269255308
"Name_cn_sim_Split_(0.5, 0.5)_K_20_Lambda_0.2",cn_sim,0.5,0.5,0.2,20,0.7894366020227145,1.0049042902676926,0.7443736730360935,0.25121638767375826
"Name_KNN-Cosine_Split_(0.5, 0.5)_K_20",KNN-Cosine,0.5,0.5,N/A,20,0.7759442713138339,0.9812863208687581,0.7562632696390658,0.25778071925959894
"Name_KNN-Pearson_Split_(0.5, 0.5)_K_20",KNN-Pearson,0.5,0.5,N/A,20,0.7666837160694489,0.9780092726085681,0.7658174097664544,0.25963905144014765
"Name_k_faction_sim_Split_(0.5, 0.5)_K_30_Lambda_0.2",k_faction_sim,0.5,0.5,0.2,30,0.8241884467611944,1.0513224717559397,0.7265392781316348,0.24608216490110546
"Name_cn_sim_Split_(0.5, 0.5)_K_30_Lambda_0.2",cn_sim,0.5,0.5,0.2,30,0.7901213241623269,1.0053435031997562,0.7441613588110403,0.25233713887000414
"Name_KNN-Cosine_Split_(0.5, 0.5)_K_30",KNN-Cosine,0.5,0.5,N/A,30,0.7699517035947957,0.9754665397478106,0.7624203821656051,0.2575714443142262
"Name_KNN-Pearson_Split_(0.5, 0.5)_K_30",KNN-Pearson,0.5,0.5,N/A,30,0.763419274572413,0.9743485402900411,0.7679405520169852,0.2607530190890323
"Name_k_faction_sim_Split_(0.5, 0.5)_K_40_Lambda_0.2",k_faction_sim,0.5,0.5,0.2,40,0.8244258207517039,1.0516889239517757,0.7237791932059447,0.24549738332289744
"Name_cn_sim_Split_(0.5, 0.5)_K_40_Lambda_0.2",cn_sim,0.5,0.5,0.2,40,0.7905876197795386,1.005829041599636,0.7443736730360935,0.25211897522293913
"Name_KNN-Cosine_Split_(0.5, 0.5)_K_40",KNN-Cosine,0.5,0.5,N/A,40,0.7670045673362668,0.9725468998094562,0.7636942675159236,0.25795430810452724
"Name_KNN-Pearson_Split_(0.5, 0.5)_K_40",KNN-Pearson,0.5,0.5,N/A,40,0.7619942531556441,0.9728667629195257,0.7670912951167729,0.26068635361318276
"Name_k_faction_sim_Split_(0.5, 0.5)_K_50_Lambda_0.2",k_faction_sim,0.5,0.5,0.2,50,0.8246310464074367,1.051937352296909,0.724416135881104,0.2459348972546905
"Name_cn_sim_Split_(0.5, 0.5)_K_50_Lambda_0.2",cn_sim,0.5,0.5,0.2,50,0.7909817360388884,1.0061353934321646,0.7418259023354564,0.2504739625171619
"Name_KNN-Cosine_Split_(0.5, 0.5)_K_50",KNN-Cosine,0.5,0.5,N/A,50,0.7654422006416689,0.9708216287222948,0.7721868365180468,0.2604027813324098
"Name_KNN-Pearson_Split_(0.5, 0.5)_K_50",KNN-Pearson,0.5,0.5,N/A,50,0.761472745114725,0.9723480277457557,0.7685774946921444,0.26094832507995286
